track_id,popularity,duration_ms,explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre_Blues,genre_Classical,genre_Electronic,genre_Folk/Country,genre_Hip-Hop,genre_Jazz,genre_Kids,genre_Latin,genre_Metal,genre_Other,genre_Pop,genre_Reggae,genre_Rock,genre_Soul/R&B,genre_World,ts_0,ts_1,ts_3,ts_4,ts_5
692hkfZhtOOSMba5TsyKI7,0.2,0.02602545779834819,0,0.48,0.0702,0.5579046667776483,1,0.06290155440414508,0.914,0.949,0.126,0.184,0.33014479890866655,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0BpKI65B0WOrQcxM5xgw6D,0.2,0.036794375722581985,0,0.418,0.0314,0.42184118528383546,1,0.050777202072538864,0.995,0.962,0.141,0.141,0.7064822576138585,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5MZ9kzkf4ZCIx8CvyhpkFN,0.2,0.029182621945107158,0,0.415,0.00478,0.4258180271165121,1,0.05316062176165803,0.994,0.958,0.11,0.587,0.28255099189717797,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6kZfQkBGXymVb0UD89MkHJ,0.19,0.03686712320004888,0,0.45,0.581,0.7717847696206278,0,0.04145077720207254,0.496,0.0,0.118,0.463,0.2515778314678763,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3uW4BXrHwSjDRZW6YKSWzL,0.2,0.025669739817978557,0,0.654,0.23,0.6524795146403269,1,0.032849740932642486,0.556,0.0311,0.168,0.614,0.3098754170570156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4s1SnFbxvs76t8AEKtZUJW,0.19,0.0195368028724752,0,0.371,0.218,0.6165029687586704,1,0.03595854922279793,0.927,0.283,0.104,0.244,0.4930065907335272,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5X7yeItKsM4UwgBrHRd4Gh,0.2,0.029894630720629638,0,0.522,0.0919,0.6001701718365611,1,0.04310880829015544,0.989,0.704,0.0931,0.321,0.47881021645875443,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0VzjMVWobq4OzVNbh3qeQX,0.19,0.01958873807948569,0,0.464,0.0505,0.4448328801583338,1,0.04207253886010363,0.967,0.94,0.0964,0.144,0.3325279818549381,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10XFebWLNJhu7F27nb0eCx,0.19,0.03998247186763396,0,0.499,0.515,0.619721436102325,0,0.2601036269430052,0.75,0.0,0.0853,0.494,0.5425850138882041,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6N3rHjan7k0JfUaUbyKCT7,0.19,0.02161669335028865,0,0.601,0.519,0.731757394151268,1,0.11398963730569948,0.552,1.41e-06,0.188,0.598,0.25974228752691353,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0REaKwAIIrYw7ahWlSwtro,0.19,0.021492010665811263,0,0.608,0.142,0.7289088655827459,1,0.049326424870466325,0.796,0.0485,0.101,0.422,0.4802524530348602,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2jnHCMq8eap5mlmc2Dsm2N,0.2,0.026216014182894033,0,0.436,0.0514,0.5086843127462405,0,0.046424870466321246,0.99,0.942,0.0918,0.226,0.4108319773844156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
22rR2p2vOL2OO9ZVu5jyKY,0.21,0.007194553677041297,0,0.309,0.127,0.5966927473503135,1,0.04455958549222798,0.589,0.0342,0.184,0.0883,0.4837532666042108,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1Mk8jNxnezeqII6nNyMEWg,0.43,0.022512766609480657,0,0.725,0.552,0.7491445165825055,1,0.027979274611398965,0.321,0.0,0.101,0.975,0.40113077921864465,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1EccvO2htgrewD7KtT6d6P,0.19,0.03385583588474585,0,0.468,0.232,0.7091356380519024,1,0.033056994818652846,0.943,0.000291,0.356,0.268,0.5501742188912446,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
136xCIx9st6RVfsrbXJhKN,0.19,0.041806123199094186,0,0.854,0.0132,0.5865379279729204,1,0.12538860103626942,0.993,0.95,0.12,0.316,0.25456913695905853,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4n7xg9UBCvSAbPWsRPoRf3,0.2,0.03213357276991271,0,0.469,0.0549,0.4858590903205519,1,0.029637305699481867,0.932,0.00594,0.112,0.136,0.3532493466791578,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2SxNQlbEHOdYptg0gG9M8k,0.19,0.022349896272789674,0,0.234,0.0684,0.4288700220113571,1,0.04455958549222798,0.96,0.012,0.103,0.0392,0.3329799648275068,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2rXVSfTJoADBUg7cG7ZQj0,0.21,0.0295240195558967,0,0.332,0.246,0.6413258605700756,1,0.033056994818652846,0.919,0.94,0.344,0.0901,0.36875236263826566,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1lRAMl4Co5b8PJc2H8LTLr,0.19,0.0169247674610653,0,0.179,0.204,0.6486506483177034,1,0.039067357512953364,0.933,0.973,0.0832,0.0455,0.6141791167430928,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2DP1HBd70hKwgNxQwMaG8z,0.2,0.030804642472879607,0,0.584,0.355,0.7352348186375154,1,0.02911917098445596,0.495,0.375,0.106,0.399,0.4103224693062472,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
