track_id,Unnamed: 0,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5SuOikwiRyPMVoIQDJUgSV,0,0.73,0.044042964927505514,0,0.676,0.461,1,0.7913915247026616,0,0.14818652849740932,0.0322,1.01e-06,0.358,0.715,0.36124533635751027
4qPNDBW1i3p13qLCt0Ki3A,1,0.55,0.028566273238379736,0,0.42,0.166,1,0.597377134084309,1,0.07906735751295338,0.924,5.56e-06,0.101,0.267,0.3183973505579935
1iJBSr7s7jYXzM8EGcbK5b,2,0.57,0.040254749827916894,0,0.438,0.359,0,0.736122671697834,1,0.05772020725388601,0.21,0.0,0.117,0.12,0.31364331147379315
6lfxq3CG4xtTiEg7opyCyx,3,0.71,0.038556735872239394,0,0.266,0.0596,0,0.5737010524758152,1,0.03761658031088083,0.905,7.07e-05,0.132,0.143,0.7467580494058478
5vjLSffimiIP26QG5WcN2K,4,0.82,0.037968646028150026,0,0.618,0.443,2,0.7371030094519357,1,0.05450777202072539,0.469,0.0,0.0829,0.167,0.4928627779695281
01MVOl9KtVTNfFiBU9I7dc,5,0.58,0.04090661305120296,0,0.688,0.481,6,0.7532693339252353,1,0.10880829015544041,0.289,0.0,0.189,0.666,0.40274559111154934
6Vc5wAMmXdKIAM7WUoEb7N,6,0.74,0.04380123708899346,0,0.407,0.147,2,0.7529918798438858,1,0.03678756476683938,0.857,2.89e-06,0.0913,0.0765,0.5805269299672928
1EzrEOXmMH3G43AXT1y7pA,7,0.8,0.04638768677342025,0,0.703,0.444,11,0.7435769380167583,1,0.04321243523316062,0.559,0.0,0.0973,0.712,0.6202849958088852
0IktbUcnAGrvD03AWnz3Q8,8,0.74,0.036204376495881936,0,0.625,0.414,0,0.7552485063721954,1,0.03823834196891192,0.294,0.0,0.151,0.669,0.5345232812320233
7k9GuJYLp2AzqokyEdwEw2,9,0.56,0.03925576084600925,0,0.442,0.632,1,0.7909475981725024,1,0.030569948186528497,0.426,0.00419,0.0735,0.196,0.32419095047910196
4mzP5mHkRvGxdhdGdAH7EJ,10,0.74,0.046741686309440277,0,0.627,0.363,8,0.7658472522797476,1,0.030155440414507774,0.279,0.0,0.0928,0.301,0.4105032624952747
